,0
年度績效等級C,414
年齡層級,395
生產總額,388
近一年請假數A,363
出差數A_sum,338
請假數A_sum,294
生產總額_prev1,288
年度績效等級B,287
加班數_sum,252
年度績效等級B_prev1,233
畢業科系類別,229
特殊專案佔比,229
年資層級B,222
生產總額_diff1,221
近三月請假數A,220
年資層級A,218
專案時數,203
訓練時數C,202
眷屬量,189
出差集中度,167
管理層級,165
加班數_max_diff1,163
年度績效等級B_diff1,159
專案總數,156
請假數B_sum,146
sex,145
出差數B_sum,139
年度績效等級A,131
升遷速度,128
通勤成本,127
年資層級C,125
加班數_sum_diff1,107
榮譽數,101
畢業學校類別,99
工作資歷4,92
當前專案角色,90
加班數_max,84
升遷速度_diff1,83
年度績效等級C_diff1,83
榮譽數_diff1,82
年度績效等級A_prev1,74
工作資歷5,71
職等,64
加班數_sum_prev1,63
訓練時數B,62
升遷速度_prev1,60
出差數A,56
榮譽數_prev1,55
近三月請假數B,54
出差數B,52
訓練時數A,49
年度績效等級A_diff1,44
任職前工作平均年數,38
婚姻狀況,37
工作資歷3,36
加班數_max_prev1,34
是否升遷,25
年度績效等級C_prev1,21
近一年請假數B,17
工作資歷2,15
工作資歷1,6
最高學歷,6
工作分類,4
